symbol,ann_return_mean,ann_volatility,sharpe_rf0
GOOGL,0.6074802432635547,0.3101007469754615,1.9589770395220136
ASML,0.6926470871907462,0.3912956326131959,1.7701375365859058
TSMC,0.525860017388687,0.38283322969904204,1.373600765539823
AVGO,0.7298196520872152,0.5858778392090455,1.2456857099638654
NVDA,0.3688891570670277,0.4176771580380221,0.8831920778235302
META,0.25876075349967076,0.35672959315379793,0.7253694632172286
AMZN,0.21330560682891309,0.34246029439899467,0.6228623005865735
AAPL,0.18024025702599572,0.31314444345890896,0.5755818466235917
MSFT,0.07944183058365792,0.2544591796927253,0.31219872153792483
ORCL,0.128046281890094,0.5433573737749396,0.2356575765237175
